Profcoll_Fee,NTF,OSP ,DPD_Beginning,AMT_LLP_Beginning,AMT_LLP_Projection,Price_List,OS_LC
1500000,5917531,3982192.79,1505,3982192.79,3982192.79,4500000,502922.5
1500000,6687500,2844331.87,700,2844331.87,2844331.87,4000000,582395
15000000,157371750,85897870.58,830,85897870.58,85897870.58,112000000,16708230.87
1500000,7113402.06,2345414.54,107,820895.089,820895.089,6000000,1685372.52
1500000,9439393.94,7481096.65,1318,7481096.65,7481096.65,6000000,347237.5
1400000,5189272.05,3889073.17,1457,3889073.17,3889073.17,4000000,200054.3
1000000,6938144.33,1023488.42,701,1023488.42,1023488.42,6000000,1264580.94
1500000,12840206.19,3539279.52,196,3539279.52,3539279.52,10000000,3181691.39
1500000,7949911,6200567.11,1637,6200567.11,6200567.11,7800000,348335
1400000,7961224.49,6802590.82,1426,6802590.82,6802590.82,3100000,369185
1500000,5919429.41,3563709.87,1358,3563709.87,3563709.87,4000000,402480
1000000,2696938.78,2139253.38,715,2139253.38,2139253.38,3600000,88090
1200000,6627551.02,671644,1207,671644,671644,4500000,1369605
3000000,48750000,27499241.24,199,27499241.24,27499241.24,47241000,0
1100000,5395876.29,2527849.71,1003,2527849.71,2527849.71,2100000,516009.9
700000,3533673.47,2153046.07,413,2153046.07,2153046.07,2300000,3327.67
12000000,60030000,42708745.3,848,42708745.3,42708745.3,53175361.93,0
1000000,5675757.58,1652438.47,1184,1652438.47,1652438.47,4700000,753395.34
1500000,11493718.09,5809730.14,46,610021.6647,610021.6647,11900000,369787.5
1500000,11493718.09,5809730.14,46,610021.6647,610021.6647,11900000,369787.5
816400,4339795.92,1278728.41,485,1278728.41,1278728.41,4000000,938400
1500000,4023469.39,3439497.28,573,3439497.28,3439497.28,4700000,91740
16000000,63992500,41956450.98,166,20978225.49,41956450.98,60817200,4607903.25
1050000,6855670.1,1948847.53,667,1948847.53,1948847.53,5000000,888948.75
1500000,9938775.51,8150977.62,1262,8150977.62,8150977.62,7800000,0
1200000,5711028.09,3612575.45,1504,3612575.45,3612575.45,4300000,0
1500000,8105154.64,4734040.24,683,4734040.24,4734040.24,8800000,797655
9500000,65420750,44258323.66,53,4647123.984,4647123.984,57747200,6933215.08
8000000,81178500,18404706.28,473,18404706.28,18404706.28,56750000,20894030.73
1500000,18692783.51,17953706.13,51,1885139.144,1885139.144,23500000,80217.5
1500000,18692783.51,17953706.13,51,1885139.144,1885139.144,23500000,80217.5
1500000,10509644.67,8275314.21,1230,8275314.21,8275314.21,6000000,230720
1050000,7185714.29,6199512.36,700,6199512.36,6199512.36,6000000,68085
1500000,5896938.78,5087825.15,1049,5087825.15,5087825.15,7000000,0
1250000,12171134.02,7390683.94,62,776021.8137,2586739.379,9000000,0
1200000,6924242.42,6463852.95,1400,6463852.95,6463852.95,7200000,0
800000,5267010.31,2487315.06,331,2487315.06,2487315.06,2300000,1111487.5
1300000,6923469.39,2658972.94,942,2658972.94,2658972.94,5700000,867490
1000000,4290909.09,3712126.05,1387,3712126.05,3712126.05,4600000,62140
1000000,4339795.92,3434341.38,1215,3434341.38,3434341.38,6200000,94300
1500000,7435051.55,5429282.76,1170,5429282.76,5429282.76,4500000,0
1350000,11274226.8,9885336.37,1137,9885336.37,9885336.37,11900000,127600
1500000,8692708.33,7710353.86,597,7710353.86,7710353.86,8300000,576815
920000,5012500,3466070.7,1108,3466070.7,3466070.7,3300000,344410
10000000,28758500,20026457.66,1123,20026457.66,20026457.66,34643400,0
1300000,10283333.33,7564653.8,29,264762.883,794288.649,9000000,1937211.75
1500000,4940206.19,3716594.67,274,3716594.67,3716594.67,6500000,685097.24
1200000,3890816.33,389717.71,789,389717.71,389717.71,3300000,0
900000,5167346.94,1034072.77,226,1034072.77,1034072.77,7200000,106762.5
1300000,4543877.55,1751707.39,99,613097.5865,613097.5865,6000000,33465
1500000,7593877.55,5788772.99,1204,5788772.99,5788772.99,4000000,410004.06
5000000,206677437.5,41322144.47,133,14462750.56,20661072.24,205176394.8,0
5000000,211499806.3,41750030.83,133,14612510.79,20875015.42,171500000,0
9000000,67462000,57094917.28,106,19983221.05,19983221.05,83430000,0
9000000,85399000,27183878.29,593,27183878.29,27183878.29,62057500,7994680
1500000,9137755.1,7574240.6,1200,7574240.6,7574240.6,8800000,1290340
1500000,10035714.29,7930191.28,661,7930191.28,7930191.28,8000000,42260
12000000,94266500,40216050.64,375,40216050.64,40216050.64,80340000,0
10000000,107319500,82278208.76,68,8639211.92,28797373.07,83430000,8542100
1000000,4149494.95,1202271.4,1169,1202271.4,1202271.4,2400000,519090
1500000,6907216.49,3559020.47,656,3559020.47,3559020.47,3600000,511387.5
1000000,6019791.67,1393306.89,213,1393306.89,1393306.89,4500000,1280586.76
1000000,6391752.58,1767895.78,353,1767895.78,1767895.78,5000000,439200
15000000,105757500,99145720.73,119,34701002.26,34701002.26,87550000,962972.4
1200000,7228865.98,1032412.43,670,1032412.43,1032412.43,6000000,0
1500000,5835714.29,4661522.27,1238,4661522.27,4661522.27,7200000,337570
900000,7101200.62,6482498.84,1153,6482498.84,6482498.84,5000000,242340
1400000,7939394,5080850.28,1906,5080850.28,5080850.28,9800000,615800
8000000,53014000,27597006.98,812,27597006.98,27597006.98,35693200,0
1200000,8002061.86,5102926.33,712,5102926.33,5102926.33,5000000,551005
1200000,8002061.86,5102926.33,712,5102926.33,5102926.33,5000000,551005
1400000,15569072.16,14314485.72,25,501007.0002,1503021.001,23000000,121500
1200000,7032989.69,6742818.92,73,707995.9866,2359986.622,7200000,79200
1500000,8963917.53,7859368.41,696,7859368.41,7859368.41,7500000,24463.96
1200000,7228865.98,1032412.43,637,1032412.43,1032412.43,7800000,0
1500000,6903553.3,6057258.61,1292,6057258.61,6057258.61,5000000,80700
1100000,7589690.72,2158072.6,853,2158072.6,2158072.6,8000000,281437.4
1100000,7589690.72,2158072.6,853,2158072.6,2158072.6,8000000,281437.4
900000,8963917.53,8609553.61,1301,8609553.61,8609553.61,8000000,0
900000,8963917.53,8609553.61,1301,8609553.61,8609553.61,8000000,0
1000000,8448453.61,2653851.91,48,278654.4506,278654.4506,5700000,354269.86
1000000,8448453.61,2653851.91,48,278654.4506,278654.4506,5700000,354269.86
1500000,6785797.46,2309528.31,1049,2309528.31,2309528.31,4800000,1269612.5
1500000,5305102.04,2769599.05,1002,2769599.05,2769599.05,4700000,562642.5
12000000,111904500,61654999.5,91,21579249.83,21579249.83,94760000,9676747.17
7000000,70000000,35786085.91,411,35786085.91,35786085.91,69000000,0
1500000,8105154.64,4642540.24,804,4642540.24,4642540.24,6500000,496512.5
1350000,6019587.63,4067779.05,243,4067779.05,4067779.05,6900000,427305.9
1350000,6019587.63,4067779.05,243,4067779.05,4067779.05,6900000,427305.9
1500000,9589708.4,5762457.21,694,5762457.21,5762457.21,9700000,897045
6500000,200819500,72874203.46,252,72874203.46,72874203.46,145140000,0
700000,4850000,492672.04,661,492672.04,492672.04,3700000,1040850
1000000,5547422.68,5329592.95,43,559607.2598,559607.2598,5000000,0
1250000,8161224.49,2362805.25,499,2362805.25,2362805.25,6900000,803502.5
1500000,9015463.92,7449714.8,1169,7449714.8,7449714.8,7800000,240157.5
1250000,8716494.85,5552935.14,1186,5552935.14,5552935.14,6000000,156055
10000000,124987500,36276947.76,24,1269693.172,3809079.515,106213600,0
1500000,7156701.03,5625355.37,1368,5625355.37,5625355.37,4000000,194486.54
15000000,92376500,33868131.07,687,33868131.07,33868131.07,89629575,3383428.65
1500000,92376500,33868131.07,687,33868131.07,33868131.07,89629575,3383428.65
1500000,11266666.67,11187191.4,471,11187191.4,11187191.4,11500000,209128.84
15000000,85000000,83400521.62,336,83400521.62,83400521.62,91670000,0
600000,5896938.78,598275.72,966,598275.72,598275.72,5200000,868005
600000,5896938.78,598275.72,966,598275.72,598275.72,5200000,868005
1200000,7916666.67,3220516.44,106,1127180.754,1127180.754,7000000,1537770.52
1200000,7916666.67,3220516.44,106,1127180.754,1127180.754,7000000,1537770.52
1750000,8984536.08,3523288.84,204,3523288.84,3523288.84,6900000,1647032.2
1500000,6039593.91,4411705.55,1353,4411705.55,4411705.55,6000000,509575
1500000,9008163.27,2642409.64,1081,2642409.64,2642409.64,10000000,1380067.5
10000000,66500000,52063097.11,28,1822208.399,5466625.197,60000000,0
1500000,6391752.58,5282468.63,1108,5282468.63,5282468.63,5000000,180000
800000,6780612.24,1316721.52,719,1316721.52,1316721.52,7200000,923587.5
1000000,9312500,1677350.41,678,1677350.41,1677350.41,6500000,1025086.8
1600000,5371428.57,1564047.94,147,547416.779,782023.97,6100000,0
800000,6635416.67,1565167.12,720,1565167.12,1565167.12,4800000,0
1000000,5328865.98,1827063.44,347,1827063.44,1827063.44,4200000,3586440
1500000,8002061.86,5911829.57,656,5911829.57,5911829.57,7000000,156125
1300000,7435051.55,7128181.58,1322,7128181.58,7128181.58,4000000,30680
1000000,7507216.49,2585645.28,633,2585645.28,2585645.28,4300000,1102540
1500000,11177319.59,5360477.4,426,5360477.4,5360477.4,9800000,0
1100000,8706185.57,4098250.26,685,4098250.26,4098250.26,10300000,0
